x	y	z	score	incomprehensibleMarkings	offensiveMarkings
men	McDonalds	cheap with a toy on the side	[1,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5]	0	0
boyfriends	adventure movies	a little rough with a happy ending	[1,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5]	0	0
entendres	penetrations	doubled	[1,2,2,2,3,3,3,3,4,4,4,5,5,5]	1	0
men	books	bound in leather	[2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5]	0	0
coffee	slaves	free	[1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5]	0	0
people	space stations	made in Russia	[1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4]	0	0
big butts	Abraham Lincoln	I cannot lie	[2,3,3,3,3,3,4,4,5]	1	0
Unix	churches	without d(a)emons	[1,1,1,1,2,2,2,2,2,3,3,3,3,4,5]	1	0
Japanese tourists	money	put away abroad	[3,3,3,3,5,5]	0	0
men	coffee	I fucking hate coffee	[1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,5,5,5]	0	0
ex	gas stations	exploding	[1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4]	0	0
quests	girlfriends	fun, exciting and with the option to abort	[2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
men	planes 	with a big nose	[1,2,2,2,2,3,3,3,3,3,3,4,4]	1	0
tea	parks	covered in homeless piss	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4]	0	0
women	coffee	detrimental to hippocampal neurogenesis, but conducive to short term memory and attentional control	[1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
lovers	documentaries	based on a true story	[1,1,2,2,2,2,3,3,3,3,3,4]	1	0
ex	truck drivers	fat and lazy	[1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,5]	0	0
fruit	girls	right out of the refrigerator	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4]	0	0
women	Halloween Candy	a little weird, delicious and at least 50% off of whatever is normal	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5]	0	0
men	face washes	informative about acne prevention	[1,1,2,2,2,2,3,3,4,4,4,4]	1	0
partners	tv	mutable by remote	[1,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
sex	slinkies	flexible	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4]	0	0
mother	seamen	all up my girlfriends ****	[1,1,1,2,2,2,2,2,2,2]	1	0
partners	brownies	without nuts	[2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5]	0	0
sodomy	smoking	as a secret between me and daddy	[1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,5]	0	0
eggs	breakups	over easy	[1,1,3,3,3,3,3,3,3,3,4,4,5,5,5]	0	0
coffee	milk teeth	black	[1,1,1,1,2,2,2,3,3,4,4,4]	1	0
women	baptism	wet	[1,2,3,3,3,3,3,3,3,4,4,5,5]	0	1
ass	blunt	fat	[1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5]	0	0
coffee	women	without a penis	[1,1,2,2,3,3,3,3,4,4,4,4,4,4,4]	0	1
sex	gardens	bearing fruit	[1,2,2,2,3,3,3,3,3,3]	0	1
ale	men	dark and rich	[1,1,2,2,2,2,2,3,3,4,4,4,4,4,5]	1	0
